rank,game_name,google_play_id,google_play_url,google_play
85,NTE: Neverness to Everness,com.hottagames.nte,https://play.google.com/store/apps/details?id=com.hottagames.nte,True
86,페이트/그랜드 오더,com.netmarble.fgok,https://play.google.com/store/apps/details?id=com.netmarble.fgok,True
87,리버스: 1999,kr.haoplay.game.and.reverse,https://play.google.com/store/apps/details?id=kr.haoplay.game.and.reverse,True
88,Fishdom,com.playrix.fishdomdd.gplay,https://play.google.com/store/apps/details?id=com.playrix.fishdomdd.gplay,True
89,리니지2 레볼루션,com.netmarble.lineageII,https://play.google.com/store/apps/details?id=com.netmarble.lineageII,True
90,추노 키우기,com.dwgames.chunorpg,https://play.google.com/store/apps/details?id=com.dwgames.chunorpg,True
91,CookieRun: Kingdom,com.devsisters.ck,https://play.google.com/store/apps/details?id=com.devsisters.ck,True
92,RAVEN2,com.netmarble.raven2,https://play.google.com/store/apps/details?id=com.netmarble.raven2,True
93,갓깨비 키우기-999뽑기 증정,com.zzsjkr.google,https://play.google.com/store/apps/details?id=com.zzsjkr.google,True
94,히간: 이루실,com.nexon.he,https://play.google.com/store/apps/details?id=com.nexon.he,True
95,나이트 크로우,com.wemade.nightcrows,https://play.google.com/store/apps/details?id=com.wemade.nightcrows,True
96,X 클래시,com.xman.kr.gp,https://play.google.com/store/apps/details?id=com.xman.kr.gp,True
97,KartRider Rush+,com.nexon.kart,https://play.google.com/store/apps/details?id=com.nexon.kart,True
98,Merge Restyle,com.play.merge.restyle,https://play.google.com/store/apps/details?id=com.play.merge.restyle,True
99,Cell Survivor,defense.roguelike.cell.shoot.survivor,https://play.google.com/store/apps/details?id=defense.roguelike.cell.shoot.survivor,True
100,Domino DreamsTM,com.screenshake.dominodreams,https://play.google.com/store/apps/details?id=com.screenshake.dominodreams,True
